epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1870.82,1.13315,2.12825,1.42764,0.7829,0.64219,0.70733,0.47205,1.23224,1.11781,1.2944,0.0033298,0.0033298,0.0700318
2,2779.45,0.99501,1.32119,1.29204,0.64397,0.71615,0.74123,0.58721,0.74907,1.04913,1.08712,0.00663015,0.00663015,0.0399988
3,3659.85,1.04149,1.32658,1.31663,0.80107,0.61722,0.73239,0.54012,0.9227,1.00628,1.19617,0.0098975,0.0098975,0.00993285
4,4751.61,1.08612,1.37143,1.35425,0.68628,0.72013,0.78064,0.59201,0.85383,0.9418,1.15523,0.0098515,0.0098515,0.0098515
5,5640.82,1.04677,1.28321,1.32487,0.75747,0.72478,0.79094,0.62138,0.7516,0.85923,1.10593,0.009802,0.009802,0.009802
6,6558.11,1.02751,1.21733,1.31445,0.79149,0.71805,0.78813,0.64314,0.70959,0.83806,1.09335,0.0097525,0.0097525,0.0097525
7,7657.36,1.00175,1.15769,1.29331,0.77968,0.77775,0.83059,0.67638,0.68295,0.77416,1.05225,0.009703,0.009703,0.009703
8,8656.52,0.97545,1.11729,1.28113,0.81047,0.73054,0.83155,0.67212,0.68277,0.7775,1.0615,0.0096535,0.0096535,0.0096535
9,9670.2,0.95652,1.07933,1.2666,0.79361,0.7945,0.85137,0.70786,0.62405,0.68016,1.02448,0.009604,0.009604,0.009604
10,10732.9,0.94762,1.04185,1.26746,0.86399,0.76962,0.86545,0.715,0.64746,0.67889,1.03084,0.0095545,0.0095545,0.0095545
11,11702.3,0.92562,1.00266,1.24944,0.81091,0.8141,0.86815,0.7313,0.59772,0.66178,1.00535,0.009505,0.009505,0.009505
12,12715.1,0.91978,0.98621,1.24502,0.83856,0.80407,0.87735,0.73833,0.60823,0.66385,1.01318,0.0094555,0.0094555,0.0094555
13,13854.5,0.90653,0.97113,1.23552,0.85351,0.79011,0.8733,0.75116,0.56803,0.63826,1.00153,0.009406,0.009406,0.009406
14,14954,0.89844,0.95559,1.22888,0.88174,0.81406,0.89671,0.7701,0.5565,0.59794,0.98173,0.0093565,0.0093565,0.0093565
15,15891.1,0.88884,0.94039,1.2286,0.83575,0.83832,0.89144,0.7576,0.60024,0.60101,1.00457,0.009307,0.009307,0.009307
16,16692.7,0.87712,0.91163,1.21795,0.89466,0.83136,0.90301,0.7853,0.5512,0.57597,0.98015,0.0092575,0.0092575,0.0092575
17,17477.3,0.87446,0.8867,1.2102,0.90458,0.81137,0.90676,0.7846,0.54694,0.57589,0.98398,0.009208,0.009208,0.009208
18,18280.8,0.87554,0.88726,1.21469,0.88029,0.83822,0.91912,0.79805,0.54927,0.54663,0.9663,0.0091585,0.0091585,0.0091585
19,19073.1,0.86218,0.86754,1.21004,0.89292,0.80673,0.90331,0.77991,0.54974,0.54954,0.97645,0.009109,0.009109,0.009109
20,19847,0.85641,0.85969,1.19977,0.88559,0.82924,0.91225,0.79433,0.52567,0.52776,0.96629,0.0090595,0.0090595,0.0090595
21,20653.3,0.85467,0.86109,1.20423,0.91113,0.81743,0.9162,0.80441,0.50241,0.54218,0.94823,0.00901,0.00901,0.00901
22,21449.1,0.84987,0.84589,1.19879,0.8873,0.83843,0.91649,0.81127,0.51239,0.51295,0.95072,0.0089605,0.0089605,0.0089605
23,22257.7,0.83639,0.82493,1.19921,0.89659,0.82819,0.91891,0.81292,0.50522,0.53571,0.95623,0.008911,0.008911,0.008911
24,23061.3,0.83796,0.81849,1.19258,0.87613,0.85422,0.92034,0.8086,0.52274,0.51769,0.95483,0.0088615,0.0088615,0.0088615
25,23865.9,0.83527,0.80333,1.18907,0.91037,0.82206,0.91936,0.81392,0.50796,0.51165,0.95313,0.008812,0.008812,0.008812
26,24671.4,0.82145,0.80309,1.17757,0.90349,0.85492,0.92659,0.81561,0.50405,0.50463,0.95669,0.0087625,0.0087625,0.0087625
27,25475.7,0.81894,0.79954,1.17995,0.92999,0.83801,0.93606,0.82921,0.49114,0.48732,0.94333,0.008713,0.008713,0.008713
